fastspring,Feb 6,5,Brunch söndag,"Härlig söndags brunch med musik, fullbokat men trots det inte stökigt utan gick att prata . Liveband spelade helt lagom högt.  Går gärna hit igen. Stor variation på mat och dryck . Kan beställa omelett som hörs på plats eller göra egna våfflor.  ","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 days ago",Responded 4 days ago,"Kära fastspring,  Stort tack för ditt omdöme och dina fina ord. Det gläder oss att du hade en sån fin upplevelse hos oss. Vi ser fram emot att få välkomna dig till Grand Hotel snart igen!  Önskar dig en underbar dag!  Med vänliga hälsningar, Katarina  ",Date of stay: February 2019,"[All, languages]",493
motive56,Mar 2013,4,優雅な雰囲気で立地良し,ルンド駅から徒歩数分程度の場所にあり、電車で移動する方には便利な立地です。 周辺も街の中心部ですので、徒歩数分圏内にコンビニ/スーパー、レストラン、ファーストフード、銀行、バーなどはひと通りあります。ルンドで宿を探すなら、一番便利な場所です。 建物は結構古いものらしく、設備も一部古いところがありますが優雅な雰囲気が好みの方には合うと思います。,,,,Date of stay: April 2012,"[All, languages]",493
A E,Mar 2013,3,Tjusigt men inte prisvärt,"Tjusigt hotell med en inredning som motsvarar hotellets gamla vackra yta. Hade dock förväntat mig högre standard på såväl rum, service som frukost med tanke på priset. Ganska lyhört från korridoren.  Har bott här två ggr och varje gång har det varit skräniniga gubbgäng…",,,,Date of stay: May 2012,"[All, languages]",493
Misha M,Feb 2013,4,Tycker du om Vin,Då har ni hamnat på rätt ställe ... personer som jobbar är lite för mycket självorienterade än service orienterade ... :( annars maten och vinet är mer än ok. När ni ska boka rum se till att ni för den har bokat .. olika standarder för samma rumsbeteckning .. kanske är alla inte…,,,,Date of stay: February 2013,"[All, languages]",493
Ingrid H,Feb 2013,5,Hög svansföring och ambition - och de levde upp till det!,"Gediget, klassiskt, något högdraget med en ambition vad gäller mat och vin dom får utanpå det mesta. Jag tillbringade en natt i samband med arbete i Köpenhamn. Smidigare resa till Kastrup får man leta efter och hotellet ligger två minuter från stationen. Middagen var i…",,,,Date of stay: February 2013,"[All, languages]",493
Hans Otto L,Jan 2013,4,Hotell med historisk sus!,"Nyopp-pusset byhotell med historisk sus. Hyggelig betjening, veldig god start på dagen med nydelig og helt topp frokost. Men- veldig små rom og dårlig ventilasjon. Medførte at man må ha vindu åpent - og mye støy fra spesielt tog som går 24/7. Meget sentralt med mange hyggelige…",,,,Date of stay: January 2013,"[All, languages]",493
TiTe80,Jan 2013,3,Helt ok,Trevlig personal och ok mat. Dock var rummet lite slitet. Hade behövt en uppfräschning. Badrummet var stort. Utsikten över takåsarna var sådär upphetsande. Mycket fina festlokaler. Utnyttjade aldrig bastuavdelningen.,,,,Date of stay: July 2012,"[All, languages]",493
Kiek,Jan 2013,4,Great stay,"Stayed 2 nights at the Grand Hotel in Lund. I got my room upgraded. Lovely room, very good breakfast. Small gym and sauna in the basement. Nice coffee facilities (Nespresso) in the hallway. Sink in the bathroom was too small (toilet size).",,,,Date of stay: January 2013,"[All, languages]",493
TJ M,Jan 2013,1,Relocated and badly informed! Not good!,"I booked the Grandiosa package (Grandiosa paketet - coffee, 3 course dinner and breakfast) at Grand Hotel in Lund for a one-night weekend stay Saturday-Sunday.  I received a phone call two days before departure and a man told me that we would have to take our 3-course dinner at…",,,,Date of stay: January 2013,"[All, languages]",493
MuG-10,Dec 2012,4,"Very good location, lovely staff","Stayed last weekend. Friendly arrival, lovely room, small for UK standards especially as booked luxury room. But excellent location, great bar/restaurant with very good atmosphere. Very good breakfast but a bit overwhelmed on Sunday when everyone arrived at the same time which…",,,,Date of stay: December 2012,"[All, languages]",493
tinayas,Nov 2012,1,det sämsta servis på flera år,"Den 9-10 oktober 2012 hade jag tjänsteresa till Lund och i samband med detta skulle övernatta på ”Grand Hotel” i Lund, rum nr 473. På kvällen den 9 oktober har jag försökt göra mig i ordning inför middag. Men var problem med varmt vatten, i stället för varmt vatten det rann…",,,,Date of stay: October 2012,"[All, languages]",493
mottyandfluff,Nov 2012,4,A Grand Old Lady,"A big contrast to the majority of hotels in which I have stayed in Scandinavia, this hotel oozes its long history. Conveniently located near both the centre of town and the railway station it is a grat base from which to venture. Reception was welcoming and the wifi free and…",,,,Date of stay: October 2012,"[All, languages]",493
Z D,Nov 2012,4,"Great hotel, nice area, helpful staff","I was invited to stay a night at this beautiful and authentic hotel.  We also enjoyed lunch there and a conference.  The building and the room look great - perhaps not 100% refined or sophisticated, but comfortable; the service is good, and so is the hospitality, the food we…",,,,Date of stay: November 2012,"[All, languages]",493
Ing-Marie M,Nov 2012,2,Fick inget rum,"Reste i tjänsten och kom fram 21:30. Möttes av besked att de haft datahaveri på hotellet ""alldeles nyligen"" och av den anledningen bokat bort mitt rum! Erbjöds taxi till ett obemannat hotell utan möjlighet till restaurang eller frukostbuffé i utkanten av stan. Jag sa att jag…",,,,Date of stay: November 2012,"[All, languages]",493
Schtroumphette67,Oct 2012,5,Impéccable!,"Bel hotel style 19ème siècle, chaleurexu en hiver (et les hivers sont longs en Suède). Près de la gare, à 10 minutes à peid, pratique. Petit déjeuner bien fourni et bon.  Service irréprochable, y compris le restuarant. Les chambres sont un peu kitches mais cela rajoute au…",,,,Date of stay: October 2012,"[All, languages]",493
tuturiwhata,Sep 2012,4,Expensive for what you get,"The hotel certainly lives up to its name, but it's rather expensive for what you get, I'd also stayed in another Lund hotel that cost about a third the price of the Grand but provided better value (larger rooms, more facilities in the room, etc).  So while there's nothing…",,,,Date of stay: September 2012,"[All, languages]",493
SoeborgCopenhagen,Sep 2012,4,Dejligt sted,"Godt hotel med dejlig beliggenhed i Lund. God, økologisk morgenmadsbuffet. Værelset, vi boede i var pænt, rummeligt og rent. Personalet var venligt og hjælpsomt. Vi følte, at vi fik meget for pengene.",,,,Date of stay: July 2012,"[All, languages]",493
Val D,Sep 2012,3,Overnight stay,"WE took two double rooms for one night while on a road trip around sweden and Denmark, The hotel looks very grand and the staff were very helpful. The rooms were spacious but did not have air conditioning so even though we had the windows open the rooms were very warm. There was…",,,,Date of stay: August 2012,"[All, languages]",493
Bullebusken,Sep 2012,4,Grand sjarm,"Fikk et stort og romslig dobbeltrom på baksiden av hotellet. Flott bad som var nyrenovert. Deilige senger med gode madrasser. Masse plass på rommet. Pluss for B & O TV.  Frokosten var meget bra, med mye å velge i og god service. Hotellet ligger bra til, like ved jernbanen og med…",,,,Date of stay: September 2012,"[All, languages]",493
abhstonybrook,Sep 2012,5,Worth staying at for its ambiance and charm,"My husband and I were happy that we chose the Grand Hotel Lund as an alternative to staying in  nearby Malmo. This university town is lovely, filled with university students, lively restaurants and stores, and it is easy to get around. The Grand Hotel Lund, a turn of the century…",,,,Date of stay: August 2012,"[All, languages]",493
Wunderkammer,Aug 2012,4,"Ottimo Albergo, ottimo ristorante","Ho passato quasi una settimana in questo albergo, nel centro di Lund e a due passi dalla stazione. Grande immobile ottocentesco, con vastissimi e eleganti spazi comuni, ha stanze standard non tanto grandi ma bene attrezzate e luminose, comode e con un servizio perfetto.  Al…",,,,Date of stay: October 2011,"[All, languages]",493
Iverwozzle,Jul 2012,5,"Warm, friendly welcome, superb service, lovely building","From my point of view, given that the room is clean, well-appointed (i.e., free WiFi), and reasonable in size, by far the most important characteristic of any hotel is the quality of the service received.  From this perspective, it would be difficult to beat the Grand Hotel…",,,,Date of stay: July 2012,"[All, languages]",493
PonticPride,Jul 2012,4,A classic in southern Sweden,"Stayed there on one of my business trips to Sweden last May.Grand old building from the late 1800's with some renovations done to its interior.Top quality Swedish treatment uppon arrival!Courtious and proffesional. My single room was small but comfortable and the bed,a pleasure…",,,,Date of stay: May 2012,"[All, languages]",493
DasReiseleiter,Jul 2012,5,"Här bor man, sa Broman..","Vi spenderade 1 natt på hotellet, inklusive en 5 rätters nordisk meny.  Fördelar:  Atmosfären är underbar Lyxigt Rummen är fantastiska och är nyrenoverade (vi bodde i ett runt hörnrum) Maten är exemplarisk och vinerna passar perfekt  Nackdelar: Svårt med parkering",,,,Date of stay: May 2012,"[All, languages]",493
Someishere,Jul 2012,3,Grand Hotel Lund... I prefer some other hotel,"The hotel is situated closed to the central station of Lund, so are you coming by train, you can easily reach the hotel by foot. But by car, it’s more difficult and you have to park the car at a parking place at least 10 minute’s walk from the hotel as there are no alternatives…",,,,Date of stay: July 2012,"[All, languages]",493
Mr_P23,Jun 2012,3,"Good Breakfast, nice location","Spent 2 nights here in June on business. The location is good, very central and just a short walk to the train station. I came by car, but found the hotel didn't offer any car parking facilities, but I could buy a pass for the local car park in the center and charge it to my…",,,,Date of stay: June 2012,"[All, languages]",493
JanJBelgium,Jun 2012,3,Good location in Lund but avoid their 'single room',"Booked a single room at an attractive low rate - and that is what I got, probably the smallest room I ever stayed in. Room very hot, even with open window. Sound isolation from late night traffic in the hallway almost non-existent. Avoid this room-type when possible - it's a…",,,,Date of stay: June 2012,"[All, languages]",493
LolaNashipai,May 2012,4,Clásico y encantador,"He pasado tres días en Lund, y el Grand Hotel es una monada, es muy clásico y lleno de detalles que te transportan al pasado. Además es cómodo en cuanto a situación, está muy cerca de la estación de tren y del centro de la ciudad, de las tiendas y restaurantes... También tiene…",,,,Date of stay: May 2012,"[All, languages]",493
Klaus K,May 2012,4,"Good breakfast, nice location and view","I got room 115 and it was a Lady DeLux room. Not really what I expected since I am male. However, apart from some female things included in the room everything was normal. The air could have been better. But then again it was 28 C warm outside so I guess that is not that…",,,,Date of stay: May 2012,"[All, languages]",493
kitrikr,May 2012,5,Excellent Hotel,"First of all the hotel was very easy to find and reach from the train station, we took the train from copenhagen airport to lund, got down at the station at Lund, came out of the station and had to walk about 4 mins from the station to the hotel which was very near, the room was…",,,,Date of stay: May 2012,"[All, languages]",493
padgoute,Apr 2012,5,Grand,"No place is perfect. But I found no faults here. The staff is extremely helpful, how do they always kbow who I am?. Rooms are pretty. Good coffee everywhere, good breakfast included.  Travelling much, this has grown to be my favourite hotel.",,,,Date of stay: April 2012,"[All, languages]",493
bk_t1,Apr 2012,3,"Very nice, but kind of small","Business stay... Positives: Location - block and a half from train station, near lots of stuff downtown; Good restaurant (the place to be after work), Staff and service in general were very good except table service in the bar area can be slow in the afternoon.  Front Desk staff…",,,,Date of stay: April 2012,"[All, languages]",493
JanochBarbro,Apr 2012,4,"A special ambiance, all rooms individual in character","Once in a while we stay at the Grand Hotel in Lund. This is hotel known from famous regional persons, litterature and student life in University town Lund. It is quite expensive and full of oldfashioned furniture and carpets, as well as paintings and chandeliers. It went through…",,,,Date of stay: April 2012,"[All, languages]",493
wullewatz,Jan 2012,5,top Hotel mit viel Charme,"Nachdem wir hier mal Essen waren habe ich dieses Mal ein Zimmer gebucht. Das Hotel hat einen besonderen Charme aus alten Zeiten ( ist positiv gemeint) Das Gebäude, das Ambiente im Eingangbereich, die Zimmer und auch der Ballsaal geben einem den Eindruck, man ist vor 100 Jahren…",,,,Date of stay: January 2012,"[All, languages]",493
